id_str,created_at,text
611573051348660224,Thu Jun 18 16:35:52 +0000 2015,"Trump Int'l Hotel &amp; Tower, Chicago, has received accolades for design, service &amp; our signature restaurant, ""Sixteen"" http://t.co/4oJj9nQnUH"
611578826745847809,Thu Jun 18 16:58:49 +0000 2015,The tragedy in South Carolina is incomprehensible. My deepest condolences to all.
611588010614915072,Thu Jun 18 17:35:19 +0000 2015,Watch my appearance on @Morning_Joe - great interview! http://t.co/ZVftDka774
611607511670616064,Thu Jun 18 18:52:48 +0000 2015,"Trump Nat'l Golf Club Philadelphia, 360 beautiful acres as designed by Tom Fazio with views of the Philly skyline.  http://t.co/jha0m0W4Kk"
611639234475245569,Thu Jun 18 20:58:51 +0000 2015,"""@JustinBorges1 Trump 4 president...has a nice ring to it. About time someone who isn't afraid to say/do what's necessary took the reigns"""
611702296200744960,Fri Jun 19 01:09:26 +0000 2015,"""@megliq: Ive been saying ""Donald trump for preZ"" since 2nd grade.I AM YOUR BIGGEST FAN LOOK I MET U @realDonaldTrump http://t.co/LrJujtXbFJ"
611864962382843904,Fri Jun 19 11:55:49 +0000 2015,"""@AndyBran: @JoeNBC  Mr. Trump nailed it! Wow: After Doubts, Economists Find China Kills U.S. Factory Jobs - http://t.co/bzYPJ5bWSo”"""
611865619068243968,Fri Jun 19 11:58:26 +0000 2015,"""@MrInsaf: @realDonaldTrump @AndyBran @JoeNBC @keichri I believe Donald Trump will always make the best deal for his people"""
611865653910315008,Fri Jun 19 11:58:34 +0000 2015,"""@CliffShep: @realDonaldTrump You've got my vote!!"""
611865763494936576,Fri Jun 19 11:59:00 +0000 2015,"""@hufseyg: I've waited to vote for @realDonaldTrump since I was little. I can't wait for 2016"""
611866284914012160,Fri Jun 19 12:01:04 +0000 2015,"""@elizwatkins: @realDonaldTrump So how many more days until you are in office? #PresidentTrump #Letstalkbusiness"""
611866828277706752,Fri Jun 19 12:03:14 +0000 2015,"""@HolySelena: @realDonaldTrump You are such a bright man. You have my vote!!"""
611867487068553217,Fri Jun 19 12:05:51 +0000 2015,"""@hollyammon:  @AndyBran @JoeNBC DONALD TRUMP has been telling anyone who would listen about the Chinese currency manipulation.""  So true."
611867927730589696,Fri Jun 19 12:07:36 +0000 2015,"""@dcfoodsafety:  Mr. Trump you're the candidate that we have been waiting for you tell it real and you will get it done you have my vote!"""
611868117153640449,Fri Jun 19 12:08:21 +0000 2015,"""@ChaddRyann: Keep doing what you're doing! You're attracting attention and people are talking more then they were before! #Trump2016"""
611868608302428161,Fri Jun 19 12:10:18 +0000 2015,"""@SMW5683: @realDonaldTrump Donald trump will do this country  good! He is a businessman &amp; will know how to grow our economy"""
611879436321980416,Fri Jun 19 12:53:20 +0000 2015,Just watched Brian Williams on @TODAYshow - very sad! Brian should get on with a new life and not start all over at @msnbc. Stop apologizing
611880259609305088,Fri Jun 19 12:56:36 +0000 2015,"""@williamonlyrent  Why is government run by politicians? It's a huge business and needs a businessman to run it successfully! #Trump2016"""
611882125462274048,Fri Jun 19 13:04:01 +0000 2015,"""@theHickMan33 Let's get the Trump trending #MakeAmericaGreatAgain #TheDonIsComing #TrumpCard #Vets4Trump"""
611891451241328640,Fri Jun 19 13:41:05 +0000 2015,"""@llambert0207 I've always said the Country needs to be run like a Major Corporation it takes a Brilliant Businessman #power #donaldtrump"""
611903255149453312,Fri Jun 19 14:27:59 +0000 2015,Goofy political pundit George Will spoke at Mar-a-Lago years ago. I didn’t attend because he’s boring &amp; often wrong—a total dope!
611904788901560320,Fri Jun 19 14:34:04 +0000 2015,"George Will was a big Iraq fool.  $2 trillion, thousands of lives lost -- &amp; we got nothing! Dummy."
611905206608117760,Fri Jun 19 14:35:44 +0000 2015,Has Charles @krauthammer ever apologized for being so totally wrong on Iraq? I called it right in every way—Make America Great Again!
611906972586262528,Fri Jun 19 14:42:45 +0000 2015,Hillary Clinton reaches new low. #TrumpVlog https://t.co/kgmQ2jVF6b
611934068050108416,Fri Jun 19 16:30:25 +0000 2015,Stop saying I went bankrupt. I never went bankrupt but like many great business people have used the laws to corporate advantage—smart!
611934171695611909,Fri Jun 19 16:30:50 +0000 2015,People buy deals &amp; immediately put them into bankruptcy in order to make better deals. It’s a very effective &amp; commonly used business tool.
611934327581077504,Fri Jun 19 16:31:27 +0000 2015,"Almost every major dealmaker has used the bankruptcy laws as a business tool. Icahn, Black, Zell—but nobody says they went bankrupt!"
611934473060532226,Fri Jun 19 16:32:02 +0000 2015,"Out of hundreds of deals &amp; transactions, I have used the bankruptcy laws a few times to make deals better. Nothing personal, just business."
611967410992730113,Fri Jun 19 18:42:55 +0000 2015,"Via @WashTimes by @CharlesHurt: ""Donald Trump declares war on lying, street-hustlers of Congress”
  http://t.co/IonH0WEDEs"
611994802289307648,Fri Jun 19 20:31:45 +0000 2015,Our country is in a major crisis of incompetent leadership. We cannot continue to go on with these politicians who do nothing but talk.
611998039700578304,Fri Jun 19 20:44:37 +0000 2015,"""@stevenkirk @realDonaldTrump @PatrickBuchanan great article .. At least #thedonald is finally saying what us average working people know!"""
612063082186174464,Sat Jun 20 01:03:05 +0000 2015,Why did @DanaPerino beg me for a tweet (endorsement) when her book was launched?
612066176294866945,Sat Jun 20 01:15:22 +0000 2015,"I like Mexico and love the spirit of  Mexican people, but we must protect our borders from people, from all over, pouring into the U.S."
612076000529268736,Sat Jun 20 01:54:25 +0000 2015,Mexico is killing the United States economically because their leaders and negotiators are FAR smarter than ours. But nobody beats Trump!
612083064945180672,Sat Jun 20 02:22:29 +0000 2015,"Druggies, drug dealers, rapists and killers are coming across the southern border. When will the U.S. get smart and stop this travesty?"
612359835649212416,Sat Jun 20 20:42:16 +0000 2015,"""@bobbybnews: The only person running for President that will not betray America  for money is Donald Trump. Fox is cutting him down=Reagan!"
612396884943089664,Sat Jun 20 23:09:29 +0000 2015,"""@andrewwagner29: Its pretty clear that @realDonaldTrump would absolutely destroy HillaryClinton in a debate &amp; i really wanna see it happen."
612397495528869888,Sat Jun 20 23:11:55 +0000 2015,"""@Tea_Alliance: @realDonaldTrump @bobbybnews The establishment fears Trump!"" They are afraid to make America great again."
612404012269309952,Sat Jun 20 23:37:49 +0000 2015,"""@njoh1234: @realDonaldTrump Trump speech is on C-span right now...f.y.i."""
612406758351478788,Sat Jun 20 23:48:43 +0000 2015,My speech is right now on C-SPAN 1
612415976890593284,Sun Jun 21 00:25:21 +0000 2015,Thank you @AnnCoulter for your nice words. The U.S. is becoming a dumping ground for the world. Pols don't get it. Make America Great Again!
612416763561689088,Sun Jun 21 00:28:29 +0000 2015,"""@BreitbartVideo: .@AnnCoulter: Trump Has Best Shot in General Election http://t.co/Vf6c5kvrcn via @IanHanchett http://t.co/GOQTWZhjAM"""
612417679073386496,Sun Jun 21 00:32:07 +0000 2015,"""@SenzuLean: America should be so lucky to have @realDonaldTrump even consider leading our nation"" Thank you."
612424168055939072,Sun Jun 21 00:57:54 +0000 2015,"Who would you rather have negotiating for the U.S. against Putin, Iran, China, etc., Donald Trump or Hillary? Is there even a little doubt?"
612437809647996928,Sun Jun 21 01:52:07 +0000 2015,"""@Riggs101: Carl Icahn: Donald Trump Is Completely Correct That ""We Are In A Bubble Like You've Never Seen Before"""
612569658202419201,Sun Jun 21 10:36:02 +0000 2015,"""@sugarhoney157: @realDonaldTrump He really is a great business man and gets the job done right."" So true!"
612570891445256197,Sun Jun 21 10:40:56 +0000 2015,"""@NishantAgg23: Donald Trump is the only hope for a crumbling American economy. Hope my American friends choose Trump"""
612571429402451968,Sun Jun 21 10:43:04 +0000 2015,"""@I_Dont_Know_Her: @realDonaldTrump you are the best candidate for president in a long time. Hope you win"" Thanks."
612575011057045504,Sun Jun 21 10:57:18 +0000 2015,"""@nytimes: If you’re a betting man, it’s time to start believing Donald Trump http://t.co/YGeFcDz6Vo"""
612646529338376192,Sun Jun 21 15:41:29 +0000 2015,"Via @nypost by @JonathonTrugman: ""Donald Trump’s resume backs his run for president"" http://t.co/mDKEOW9vrf"
612669906006470656,Sun Jun 21 17:14:23 +0000 2015,Happy Father's Day to all! I had a wonderful and loving father. https://t.co/SdrRctSxhu
612691071416573953,Sun Jun 21 18:38:29 +0000 2015,"Via @BreitbartNews by @ASwoyer: ""Exclusive: Trump Slams Obamatrade, Stands Up For American Jobs""
http://t.co/kE5pjagvtq"
612748954925670401,Sun Jun 21 22:28:29 +0000 2015,".@KarlRove, who spent $430 million in the last cycle and didn't win one race, said I'm not a candidate until I file papers. Next week Karl!"
612750614414630917,Sun Jun 21 22:35:05 +0000 2015,"""@BK00023: Donald Trump's resume backs his run for president http://t.co/KXJPyRPK67 @realDonaldTrump #greta @ThisWeekABC"" Thank you, so true"
612751831681368064,Sun Jun 21 22:39:55 +0000 2015,"""@CandyThomas3583: @realDonaldTrump I tend to vote for democratic candidates, but I feel excited about you in the presidential race. 😊"""
612752222879920128,Sun Jun 21 22:41:28 +0000 2015,"""@utwey: @realDonaldTrump @KarlRove can't wait for debates! DT will crush them"" Could happen!"
612759913127890944,Sun Jun 21 23:12:02 +0000 2015,.@MarthaRaddatz was so unprofessional and biased when discussing me on This Week. @GStephanopoulos should not allow this conduct!
612769697235386368,Sun Jun 21 23:50:55 +0000 2015,"The great Mike Wallace covered me in a much more professional manner than his son, Chris Wallace of @FoxNews. Mike was a total pro!"
612781540645466112,Mon Jun 22 00:37:58 +0000 2015,"""@JakeKonczyk: @realDonaldTrump @KarlRove The best candidate! #GotMyVote #MakeAmericaGreatAgain"""
612781764130570240,Mon Jun 22 00:38:52 +0000 2015,"""@Auburnfan2155: @realDonaldTrump @KarlRove Karl Rove destroyed the Republican Party. Time to rebuild it."" True!"
612783705648709632,Mon Jun 22 00:46:35 +0000 2015,.@KarlRove stated clearly that he wants to repeal the 2nd Amendment. I thought @FoxNews was going to fire that jerk after his Romney fiasco?
612784754077888512,Mon Jun 22 00:50:45 +0000 2015,"""@TeamBobbyEwing:  @foxnews @karlrove I am stunned that Rove would suggest repealing the #2A! That will not solve the problem, IMO!"""
612785627260657664,Mon Jun 22 00:54:13 +0000 2015,.@KarlRove still thinks Romney won! He doesn't have a clue! @FoxNews
612785894395912192,Mon Jun 22 00:55:16 +0000 2015,"""@shawncrazyshawn: I have Loved you since Wrestlemania when I was kid. I grew up &amp; see what you're all about. I am behind you ALL the way!"""
612786719117717504,Mon Jun 22 00:58:33 +0000 2015,"""@hyannis1952: @realDonaldTrump @FoxNews Believe they are worried you may win!"
612787081975320576,Mon Jun 22 01:00:00 +0000 2015,"""@JPJAC: @realDonaldTrump @FoxNews Why is it that FOX loved you until you declared as a candidate???""  Good question!"
612788621863690240,Mon Jun 22 01:06:07 +0000 2015,"""@joncford: @realDonaldTrump @TeamBobbyEwing @FoxNews @KarlRove I'm just about done with Fox news!"""
612789102749052928,Mon Jun 22 01:08:01 +0000 2015,"""@IsaacNewYorker: Finally somebody with real intelligence &amp; leadership is runnig for president Mr @realDonaldTrump. #MakeAmericaGreatAgain"""
612789232902492160,Mon Jun 22 01:08:32 +0000 2015,"""@pbstwo: @realDonaldTrump @hyannis1952 @FoxNews The Donald owes NOTHING to lobbyists. He could restore our Republic."" True."
612789756288737280,Mon Jun 22 01:10:37 +0000 2015,"""@Alaskan_Gypsy:  @FoxNews @seanhannity indicated he would support you if you ran. Let's see if he puts his money where his mouth is!"
612789901768196096,Mon Jun 22 01:11:12 +0000 2015,"""@kirkcameronfan: @realDonaldTrump @FoxNews Because they're AFRAID of you! #Trump2016 #American"""
612790311992053760,Mon Jun 22 01:12:50 +0000 2015,"""@lauralynn1955: @realDonaldTrump - @oreillyfactor loves you. It was obvious to me when you were on the day you announced."" Bill O is great."
